model,scenario_id,intent,tone,fcs,tcs,eqs,eqs_structure,eqs_rouge_l,eqs_readability,composite
Model-A (Qwen2.5-7B),1,Follow up on a submitted job application,"Professional, enthusiastic",1.0,1.0,0.7513,1.0,0.4755,0.8053,0.9171
Model-A (Qwen2.5-7B),2,Schedule a quarterly business review meeting with a key client,"Formal, courteous",1.0,0.3333,0.7297,1.0,0.3876,0.8734,0.6877
Model-A (Qwen2.5-7B),3,Request a one-week project deadline extension from a manager,"Urgent, apologetic, professional",1.0,0.8333,0.4925,0.6,0.2326,0.7971,0.7753
Model-A (Qwen2.5-7B),4,Respond to a customer complaint about a delayed shipment,"Empathetic, apologetic",1.0,1.0,0.6869,1.0,0.3067,0.8211,0.8956
Model-A (Qwen2.5-7B),5,Introduce a new executive hire to the entire company,"Warm, enthusiastic, professional",0.8,0.2857,0.63,0.8,0.3206,0.909,0.5719
Model-A (Qwen2.5-7B),6,Request a formal proposal from a software vendor for a CRM solution,"Formal, business-like",1.0,0.3333,0.701,1.0,0.331,0.8428,0.6781
Model-A (Qwen2.5-7B),7,Send a thank-you note after a job interview,"Warm, professional, grateful",1.0,0.5,0.5991,0.8,0.3281,0.7392,0.6997
Model-A (Qwen2.5-7B),8,Send a payment reminder for an overdue invoice,"Firm but polite, professional",0.8,1.0,0.7156,1.0,0.3374,0.9034,0.8385
Model-A (Qwen2.5-7B),9,Propose a strategic content syndication partnership,"Persuasive, confident, professional",1.0,0.4,0.5569,1.0,0.2423,0.3,0.6523
Model-A (Qwen2.5-7B),10,Announce a new hybrid work policy to all staff,"Clear, professional, neutral",1.0,1.0,0.5896,1.0,0.3239,0.3,0.8632
Model-B (Mistral-7B),1,Follow up on a submitted job application,"Professional, enthusiastic",1.0,0.6,0.6008,1.0,0.3519,0.3,0.7336
Model-B (Mistral-7B),2,Schedule a quarterly business review meeting with a key client,"Formal, courteous",1.0,1.0,0.7084,1.0,0.3875,0.7669,0.9028
Model-B (Mistral-7B),3,Request a one-week project deadline extension from a manager,"Urgent, apologetic, professional",0.8,0.8333,0.6512,1.0,0.2654,0.7252,0.7615
Model-B (Mistral-7B),4,Respond to a customer complaint about a delayed shipment,"Empathetic, apologetic",1.0,0.5,0.6771,1.0,0.2959,0.7937,0.7257
Model-B (Mistral-7B),5,Introduce a new executive hire to the entire company,"Warm, enthusiastic, professional",0.8,0.2857,0.701,1.0,0.3072,0.8906,0.5956
Model-B (Mistral-7B),6,Request a formal proposal from a software vendor for a CRM solution,"Formal, business-like",0.6,0.3333,0.5928,1.0,0.332,0.3,0.5087
Model-B (Mistral-7B),7,Send a thank-you note after a job interview,"Warm, professional, grateful",1.0,0.6667,0.648,1.0,0.2436,0.753,0.7716
Model-B (Mistral-7B),8,Send a payment reminder for an overdue invoice,"Firm but polite, professional",0.8,0.5,0.7003,1.0,0.3617,0.7781,0.6668
Model-B (Mistral-7B),9,Propose a strategic content syndication partnership,"Persuasive, confident, professional",1.0,0.6,0.5504,1.0,0.226,0.3,0.7168
Model-B (Mistral-7B),10,Announce a new hybrid work policy to all staff,"Clear, professional, neutral",1.0,1.0,0.5852,0.8,0.3077,0.7107,0.8617
